Method,Family,Top10_AvgUtility,Top10_Regret_vs_Oracle,Top10_AvgUsage,Top10_AvgCapacity,Top10_AvgRating,Top10_AvgCost,Top10_AvgDistance,Top10_RenewableShare,Top10_DemandCapacityFit,CongestionProxy_users_per_kW,CongestionProxy_RelativeToRandom
PRIME-EV,Proposed,0.703953240316865,0.0024018328121743204,77.302,304.0,4.282,0.26114,8.71654,0.754,0.777680758807588,0.28061142857016275,0.24927142763376414
GradientBoostedRanker,MLRanker,0.7002662380654578,0.006088835063581488,78.368,319.6,4.2592,0.26536000000000004,8.4108,0.712,0.7478341463414635,0.26787809523703676,0.23796021271048712
AHP,MCDM,0.6987405327496354,0.0076145403794039,79.078,300.128,4.3488,0.25168,7.67028,0.712,0.6726845528455285,0.4292116017246442,0.38127523623694937
RandomForestRanker,MLRanker,0.695047379153638,0.011307693975401323,82.556,324.0,4.1538,0.28896000000000005,9.01584,0.63,0.8010818428184282,0.2726742857132613,0.2422207421312018
MultiObjective_WeightedSum,MultiObjective,0.6972249308317702,0.009130142297269161,75.784,309.04,4.319799999999999,0.2461,7.29336,0.716,0.6590720867208673,0.37389956709401173,0.33214070915100585
TOPSIS,MCDM,0.6979234641234108,0.00843160900562856,82.12,322.8,4.2856000000000005,0.2677,8.37632,0.558,0.7459176151761518,0.2817219047607859,0.25025788063320326
VIKOR,MCDM,0.6948154551594751,0.011539617969564264,81.18,309.2,4.3212,0.26732000000000006,8.254719999999999,0.614,0.7237875338753388,0.29983619047488114,0.2663490779287882
RidgeLinearRanker,MLRanker,0.6882787179487182,0.018076355180321135,70.58,302.016,4.359199999999999,0.24124,6.833600000000001,0.784,0.6088466124661247,0.3923546320277925,0.3485346258441284
Pareto_BalancedSort,MultiObjective,0.6771327919949972,0.029222281134042127,71.442,226.992,4.408799999999999,0.22488,6.47186,0.728,0.7413685636856369,0.5005736796453062,0.44466726247349864
DemandCapacityHeuristic,Heuristic,0.6793630905982909,0.026991982530748415,82.92,350.0,4.011400000000001,0.2935,10.35518,0.5,0.8102222222222223,0.2369142857136088,0.2104545867129524
WASPAS,MCDM,0.6702779996247659,0.03607707350427347,72.28,268.0,4.248600000000001,0.26756,8.49456,1.0,0.6170731707317073,0.3967276190438913,0.3524192171527618
SAW_EqualWeights,MCDM,0.6663860347300399,0.03996903839899946,68.196,249.448,4.3108,0.24194000000000002,7.25068,0.89,0.571579945799458,0.6486943722774537,0.5762451411887468
ShallowTreeRanker,MLRanker,0.6572896991452994,0.04906537398373989,77.476,350.0,4.014,0.29792,10.555639999999999,0.492,0.7497333333333334,0.22135999999936756,0.19663747660603836
QualityGreenHeuristic,Heuristic,0.5856285544715449,0.1207265186574944,54.724,142.344,4.7345999999999995,0.29728000000000004,10.39404,1.0,0.5797306233062332,1.0263040692299281,0.9116816154881575
CostAccessHeuristic,Heuristic,0.5759849190327291,0.13037015409631025,55.342,144.824,4.0358,0.16063999999999998,3.53348,0.524,0.5648,1.0407343722595757,0.9245002745702793
CapacityOnly,Heuristic,0.5776303487179489,0.1287247244110904,55.832,350.0,3.9579999999999997,0.29440000000000005,10.38124,0.518,0.5092444444444444,0.15951999999954425,0.1417040579517313
DistanceOnly,Heuristic,0.5477434332707947,0.15861163985824467,55.664,141.488,3.9836000000000005,0.30798,1.43712,0.49,0.5720433604336043,1.049789783514516,0.9325443350094123
CostOnly,Heuristic,0.534343281050657,0.17201179207838235,55.384,140.104,4.0164,0.11992000000000001,10.342559999999999,0.49,0.5625945799457995,1.0905419913046335,0.9687451450292737
RatingOnly,Heuristic,0.5542767349176573,0.15207833821138206,55.574,141.056,4.905,0.30196000000000006,10.22962,0.528,0.5771875338753387,1.0208199133863958,0.9068099559002033
RenewableOnly,Heuristic,0.5317665260787996,0.17458854705023974,52.966,153.016,3.9701999999999997,0.29874,10.41078,1.0,0.5868336043360435,0.9344808657699285,0.8301136582135425
Random,Heuristic,0.5027835675630605,0.2035715055659788,55.844,154.696,4.0012,0.30024,9.925480000000002,0.506,0.5715062330623306,0.9773696969377623,0.8682124634875277
DemandOnly,Heuristic,0.5399804504481971,0.16637462268084224,96.182,141.088,4.0106,0.30086,9.97104,0.506,0.3836287262872629,1.8321584414967365,1.6275343904924084
KMeansRepresentative,Heuristic,0.4795142835105278,0.22684078961851156,52.272,109.656,4.0018,0.29934000000000005,10.0509,0.502,0.6092840108401084,1.1112498700935298,0.987140270756252
OldestFirst,Heuristic,0.49062782422347323,0.2157272489055661,58.356,144.592,3.9586,0.29270000000000007,10.00014,0.548,0.5804856368563684,1.0563546319997044,0.9383759904143277
Oracle_WeightedUtility_UpperBound,UpperBound,0.7063550731290393,0.0,78.918,308.544,4.264799999999999,0.25618,8.02824,0.694,0.7679723577235773,0.29089194805038404,0.2584037704635243
