N_stations,Base_numeric_dim,Extra_noise_dimensions,Effective_feature_dim_for_ML,Method,Runtime_ms_mean,Runtime_ms_std,Asymptotic_Complexity
250,7,0,7,PRIME-EV,0.3602499964472372,0.01005000012810342,O(N*d) inference
250,7,0,7,AHP,0.4951999981130939,0.0016000012692529708,O(N*d)
250,7,0,7,TOPSIS,0.2506500022718683,0.002749999111983925,O(N*d)
250,7,0,36,GradientBoostedRanker,17.173450003610924,0.5636499990941957,O(T*N*d*logN) training + O(T*d) inference
250,7,50,86,GradientBoostedRanker,83.8392500008922,0.4736499977298081,O(T*N*d*logN) training + O(T*d) inference
1000,7,0,7,PRIME-EV,0.37519999750657007,0.005399997462518513,O(N*d) inference
1000,7,0,7,AHP,0.5074000000604428,0.007100003131199628,O(N*d)
1000,7,0,7,TOPSIS,0.28079999901819974,0.0018999999156221747,O(N*d)
1000,7,0,36,GradientBoostedRanker,34.13139999975101,0.008899998647393659,O(T*N*d*logN) training + O(T*d) inference
1000,7,50,86,GradientBoostedRanker,328.6191500010318,0.37414999678730965,O(T*N*d*logN) training + O(T*d) inference
