Method,Family,Inputs,Objective,Hyperparameters,Tuning,Implementation
PRIME-EV,Proposed neural ranker,Same leakage-controlled inference features; rating and observed usage excluded,Gaussian risk NLL + auxiliary demand MSE + supervised pairwise logistic ranking,"latent=16, lr=0.001, epochs=150, lambda_rank=15.0, validation_metric=ndcg_top_fraction",Early stopping on validation NDCG,PyTorch
AHP_WeightedSum,MCDM,"capacity_gap, high_distance, older_station, maintenance_gap, limited_availability, high_cost, renewable_gap, parking_gap",Expert-defined weighted priority score,"{""capacity_gap"": 0.2, ""high_distance"": 0.2, ""older_station"": 0.15, ""maintenance_gap"": 0.15, ""limited_availability"": 0.1, ""high_cost"": 0.08, ""renewable_gap"": 0.07, ""parking_gap"": 0.05}",No fitting; weights declared before testing,NumPy/Pandas
TOPSIS,MCDM,"capacity_gap, high_distance, older_station, maintenance_gap, limited_availability, high_cost, renewable_gap, parking_gap",Distance to weighted ideal and anti-ideal solutions,"{""capacity_gap"": 0.2, ""high_distance"": 0.2, ""older_station"": 0.15, ""maintenance_gap"": 0.15, ""limited_availability"": 0.1, ""high_cost"": 0.08, ""renewable_gap"": 0.07, ""parking_gap"": 0.05}",No fitting; AHP weights reused,NumPy
VIKOR,MCDM,"capacity_gap, high_distance, older_station, maintenance_gap, limited_availability, high_cost, renewable_gap, parking_gap",Compromise ranking with v=0.5,"{""v"": 0.5, ""weights"": {""capacity_gap"": 0.2, ""high_distance"": 0.2, ""older_station"": 0.15, ""maintenance_gap"": 0.15, ""limited_availability"": 0.1, ""high_cost"": 0.08, ""renewable_gap"": 0.07, ""parking_gap"": 0.05}}",No fitting; AHP weights reused,NumPy
MultiObjective_WeightedSum,Multi-objective,"capacity_gap, high_distance, older_station, maintenance_gap, limited_availability, high_cost, renewable_gap, parking_gap",Weighted need-oriented planning score,"{""capacity_gap"": 0.22, ""high_distance"": 0.18, ""older_station"": 0.12, ""maintenance_gap"": 0.12, ""limited_availability"": 0.12, ""high_cost"": 0.1, ""renewable_gap"": 0.08, ""parking_gap"": 0.06}",No fitting; weights declared before testing,NumPy/Pandas
Pareto_Balanced,Pareto surrogate,"capacity_gap, high_distance, older_station, maintenance_gap, limited_availability, high_cost, renewable_gap, parking_gap",Balanced criterion-rank aggregation,0.45 frontier rank + 0.55 mean rank,None,Pandas
Random,Weak heuristic,None,Random ordering,seed=42,None,NumPy
Oracle_Label_UpperBound,Analytical upper bound,Target-side risk proxy and observed usage,Exact ordering by the preference-label formula,"{""risk_proxy"": 0.6, ""demand_target"": 0.4}",Not deployable; excluded from comparative claims,NumPy
GradientBoostedRanker,Machine-learning ranker,Same leakage-controlled inference feature matrix as PRIME-EV,Regression to formula-derived intervention-priority proxy,"{""random_state"": 42, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 50}",Grid search selected by validation NDCG=0.92277,scikit-learn
RandomForestRanker,Machine-learning ranker,Same leakage-controlled inference feature matrix as PRIME-EV,Regression to formula-derived intervention-priority proxy,"{""random_state"": 42, ""n_jobs"": -1, ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 100}",Grid search selected by validation NDCG=0.92524,scikit-learn
RidgeRanker,Machine-learning ranker,Same leakage-controlled inference feature matrix as PRIME-EV,Regression to formula-derived intervention-priority proxy,"{""alpha"": 10.0}",Grid search selected by validation NDCG=0.92130,scikit-learn
ShallowTreeRanker,Machine-learning ranker,Same leakage-controlled inference feature matrix as PRIME-EV,Regression to formula-derived intervention-priority proxy,"{""random_state"": 42, ""max_depth"": 3, ""min_samples_leaf"": 1}",Grid search selected by validation NDCG=0.92624,scikit-learn
