NDCG_full,NDCG_at_10_percent,Precision_at_10,Precision_at_10_percent,Spearman,KendallTau,PairwiseAccuracy,Method,IsOracleUpperBound,NDCG@10,MAP@10,Recall@10,HitRate@10,TopKOverlap@10,Regret@10,NDCG@25,MAP@25,Recall@25,HitRate@25,TopKOverlap@25,Regret@25,NDCG@50,MAP@50,Recall@50,HitRate@50,TopKOverlap@50,Regret@50,NDCG@100,MAP@100,Recall@100,HitRate@100,TopKOverlap@100,Regret@100,NDCG@10pct,P@10pct
0.9220408803371658,0.6009290510139694,0.0,0.07920792079207921,-0.01626265203667548,-0.011057058346160983,0.490125,PRIME-EV,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9206372939832086,0.5874065937843277,0.0,0.1485148514851485,0.009228927173914296,0.005872752700370289,0.495125,AHP_WeightedSum,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9195678691406116,0.580223235367126,0.0,0.15841584158415842,0.0042457734945286155,0.0025562338461346725,0.49275,TOPSIS,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9222505761389737,0.6050127459830328,0.0,0.16831683168316833,0.020788294218666528,0.01324412493114428,0.4945,VIKOR,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9211960430219706,0.5811134399048773,0.0,0.12871287128712872,0.010462979597814967,0.00602041960483084,0.49725,MultiObjective_WeightedSum,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9244554604893458,0.5867010517590685,0.0,0.09900990099009901,0.018689291492634517,0.01253184434158917,0.49425,Pareto_Balanced,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9134883967281697,0.5716729766090367,0.0,0.1188118811881188,-0.004357464510194231,-0.003478154249658653,0.498,Random,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999999998533746,0.9999999994595548,1.0,1.0,0.9999999999999998,1.0,1.0,Oracle_Label_UpperBound,True,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9157925760044378,0.5759187589338507,0.0,0.0891089108910891,0.003985071721695012,0.0028457411223528763,0.50625,GradientBoostedRanker,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9220120960997978,0.6008455672323116,0.0,0.06930693069306931,0.008022256255482777,0.005158364162574651,0.504625,RandomForestRanker,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9243965183567475,0.6110653034456781,0.0,0.10891089108910891,-0.019778059210522968,-0.01282107920485189,0.485375,RidgeRanker,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9124404604495695,0.5505029132669906,0.0,0.09900990099009901,0.0067306982206345204,0.005290355048201778,0.506125,ShallowTreeRanker,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9193116842858136,0.6078554556962112,0.0,0.07920792079207921,-0.022669131081818415,-0.014804604921524694,0.492125,TwoStage_RiskUsage,False,0.5017133952552838,0.0,0.0,0.0,0.0,0.4873333219438791,0.5406029167744427,0.0,0.0,0.0,0.0,0.4140444396436215,0.5824604089061176,0.0041764069264069266,0.06,1.0,0.06,0.35502222321927546,0.6111792601445823,0.006691765672421881,0.08,1.0,0.08,0.31477777738124124,0.6078554556962112,0.07920792079207921
