Permutation,NDCG@10,MAP@10,Recall@10,HitRate@10,TopKOverlap@10,Regret@10,NDCG@25,MAP@25,Recall@25,HitRate@25,TopKOverlap@25,Regret@25,NDCG@50,MAP@50,Recall@50,HitRate@50,TopKOverlap@50,Regret@50,NDCG@100,MAP@100,Recall@100,HitRate@100,TopKOverlap@100,Regret@100,NDCG_full,NDCG@10pct,P@10pct,Spearman,KendallTau,PairwiseAccuracy
0,0.5541136423556262,0.0,0.0,0.0,0.0,0.44477777034044264,0.5659980439937342,0.002,0.04,1.0,0.04,0.4084444406628609,0.5564381723646771,0.001,0.02,1.0,0.02,0.4042000010609627,0.5837675046577724,0.007044059147031479,0.08,1.0,0.08,0.35264444366097447,0.9197060862097166,0.5824095375512987,0.07920792079207921,-0.015515639716916942,-0.010841544485596936,0.490375
1,0.6326952523277234,0.0,0.0,0.0,0.0,0.3331111043691636,0.5641833683913496,0.0036363636363636364,0.04,1.0,0.04,0.422444441318512,0.576487970269808,0.0018181818181818182,0.02,1.0,0.02,0.38662222295999527,0.5816115385710482,0.009688543400025425,0.08,1.0,0.08,0.36063333272933956,0.9206964198386463,0.5816262748153447,0.07920792079207921,-0.022121542721626874,-0.014932316838895981,0.48875
2,0.6501944533313755,0.0,0.0,0.0,0.0,0.31811110079288485,0.6120059023806778,0.005,0.04,1.0,0.04,0.36866666495800027,0.5740092998403943,0.0034756097560975606,0.04,1.0,0.04,0.3991777780652046,0.596001192811348,0.0116069296022762,0.09,1.0,0.09,0.3481555549800396,0.9219166230355332,0.5937911959449252,0.0891089108910891,-0.02201915587716354,-0.014890426211874872,0.48875
3,0.6439388900027885,0.0,0.0,0.0,0.0,0.31344443857669835,0.5836485655807032,0.002105263157894737,0.04,1.0,0.04,0.4000888875126839,0.5535211255952098,0.0010526315789473684,0.02,1.0,0.02,0.41873333245515826,0.5795397505507561,0.007626449964045354,0.08,1.0,0.08,0.3630222217738628,0.9209644196049859,0.5789377311114636,0.07920792079207921,-0.015957280557362452,-0.010454417736065221,0.4955
4,0.6441625937589084,0.0,0.0,0.0,0.0,0.34044443666934965,0.6066182799406952,0.0017391304347826085,0.04,1.0,0.04,0.37688888698816303,0.5652795935939238,0.0008695652173913043,0.02,1.0,0.02,0.41068888872861864,0.5894977779746957,0.009032985130811218,0.08,1.0,0.08,0.35594444409012793,0.922091104013423,0.5912621236103817,0.07920792079207921,-0.01584900109432423,-0.010396558638953106,0.493125
5,0.585075416915412,0.0,0.0,0.0,0.0,0.3868888817727566,0.5650980098526233,0.0,0.0,0.0,0.0,0.40751110941171653,0.547241527057267,0.0007692307692307692,0.02,1.0,0.02,0.4165111115574837,0.5859760950135859,0.007093829199922476,0.08,1.0,0.08,0.3494555547833442,0.9198311055936664,0.5884018865897475,0.07920792079207921,-0.014017595268474695,-0.009087510180766305,0.493625
6,0.5972881473729903,0.0,0.0,0.0,0.0,0.3946666643023491,0.5999950966014945,0.0019047619047619048,0.04,1.0,0.04,0.3700444415211678,0.5494550011391954,0.0009523809523809524,0.02,1.0,0.02,0.4210666671395302,0.585705472432654,0.007593359185928438,0.08,1.0,0.08,0.3538666650652885,0.9209562962864524,0.5878989995442269,0.07920792079207921,-0.007028112578586393,-0.005006706260696247,0.4955
7,0.5973129160722702,0.0,0.0,0.0,0.0,0.4062222138047219,0.6069293784334525,0.0022222222222222222,0.04,1.0,0.04,0.3716888883709908,0.5746841066393992,0.0011111111111111111,0.02,1.0,0.02,0.3963777777552605,0.5950967821444866,0.0079177401863036,0.08,1.0,0.08,0.34876666665077205,0.9221015371998839,0.5971673883525273,0.07920792079207921,-0.010913226735884522,-0.00697027699027979,0.49425
8,0.5895538359158947,0.0,0.0,0.0,0.0,0.3758888803422451,0.575120569022307,0.003333333333333333,0.04,1.0,0.04,0.3970222198963166,0.5679776022547007,0.0016666666666666666,0.02,1.0,0.02,0.3898222228884697,0.5871869055202745,0.008182593323351478,0.08,1.0,0.08,0.34921111062169075,0.9200995272222917,0.5854111355853107,0.07920792079207921,-0.009575499169645589,-0.006333719216897728,0.49675
9,0.5960770940569271,0.0,0.0,0.0,0.0,0.37177777141332624,0.6027093349338409,0.0016,0.04,1.0,0.04,0.3583555537462235,0.5532935025450606,0.0008,0.02,1.0,0.02,0.41306666582822804,0.5801065691791655,0.0076611109160628086,0.08,1.0,0.08,0.3602555556595325,0.9203459141220368,0.5801309082564137,0.07920792079207921,-0.014452365343027976,-0.010302759834186818,0.491875
