GroupType,Group,Stations,SelectedStations,SelectionRate,SelectionRate_CI95_L,SelectionRate_CI95_U,MeanUtility
Station Operator,ChargePoint,1004,89,0.08864541832669323,0.07106371074945866,0.1062271259039278,0.48596271872520447
Station Operator,EVgo,1002,108,0.10778443113772455,0.08858293248328733,0.12698592979216178,0.4859716594219208
Station Operator,Greenlots,987,100,0.10131712259371833,0.08249181191206653,0.12014243327537014,0.485969215631485
Station Operator,Ionity,978,100,0.10224948875255624,0.08326079688758484,0.12123818061752764,0.4859697222709656
Station Operator,Tesla,1029,103,0.1000971817298348,0.08175896441804495,0.11843539904162464,0.485958993434906
region,Americas,1986,173,0.08710976837865056,0.07470727057699182,0.0995122661803093,0.48597002029418945
region,Asia_Oceania,1715,186,0.10845481049562682,0.09373778305628958,0.12317183793496406,0.48596611618995667
region,Europe_Africa,1299,141,0.10854503464203233,0.09162870339197808,0.1254613658920866,0.4859611690044403
access,LowAccess,1250,0,0.0,0.0,0.0,0.48592880368232727
access,Other,3750,500,0.13333333333333333,0.12245315904279035,0.14421350762387633,0.485978901386261
